name,given,surname,event_year,notes,source,finding_aid_url
Pierre ALIN,Pierre,Alin,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
Jean APIGNE,Jean,Apigne,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
Alexandre AUCOIN,Alexandre,Aucoin,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
Oliver AUCOIN,Oliver,Aucoin,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
Claud AUCOIN,Claud,Aucoin,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
Charles AUCOIN,Charles,Aucoin,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
Jean AUCOIN,Jean,Aucoin,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
Renez AUCOIN,Renez,Aucoin,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
Joseph AUCOIN,Joseph,Aucoin,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
Abraham AUCOINE,Abraham,Aucoine,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
Charles AUCOINE,Charles,Aucoine,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
Jean AUCOINE,Jean,Aucoine,1755,prisoner at Grand-Pré; son of Pierre in the roll,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
Jean Batiste AUCOINE,Jean Batiste,Aucoine,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
Martin AUCOINE,Martin,Aucoine,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
Oliver AUCOINE,Oliver,Aucoine,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
Pierre AUCOINE,Pierre,Aucoine,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
Simon AUCOINE,Simon,Aucoine,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
Johanes BABBIN,Johanes,Babbin,1755,prisoner at Grand-Pré,"Winslow's roll of Acadian men imprisoned at Grand-Pré, Sept–Oct 1755 (journal of Lt.-Col. John Winslow, original manuscript, Massachusetts Historical Society); facts via the acadian.org transcription",https://www.acadian.org/history/acadian-prisoners-grand-pre/
